,size,method
0,24,susie_blip
1,24,susie_blip
2,1,susie_blip
3,1,susie_blip
4,8,susie_blip
5,11,susie_blip
6,5,susie_blip
7,3,susie_blip
8,14,susie_blip
9,12,susie_blip
10,10,susie_blip
11,1,susie_blip
12,9,susie_blip
13,8,susie_blip
14,1,susie_blip
15,4,susie_blip
16,1,susie_blip
17,2,susie_blip
18,11,susie_blip
19,4,susie_blip
20,2,susie_blip
21,1,susie_blip
22,19,susie_blip
23,13,susie_blip
24,7,susie_blip
25,8,susie_blip
26,14,susie_blip
27,1,susie_blip
28,14,susie_blip
29,16,susie_blip
30,7,susie_blip
31,7,susie_blip
32,7,susie_blip
33,1,susie_blip
34,20,susie_blip
35,10,susie_blip
36,9,susie_blip
37,1,susie_blip
38,16,susie_blip
39,6,susie_blip
40,4,susie_blip
41,9,susie_blip
42,1,susie_blip
43,21,susie_blip
44,23,susie_blip
45,13,susie_blip
46,1,susie_blip
47,25,susie_blip
48,9,susie_blip
49,16,susie_blip
50,25,susie_blip
51,23,susie_blip
52,14,susie_blip
53,4,susie_blip
54,2,susie_blip
55,1,susie_blip
56,6,susie_blip
57,9,susie_blip
58,4,susie_blip
59,1,susie_blip
60,23,susie_blip
61,14,susie_blip
62,5,susie_blip
63,12,susie_blip
64,25,susie_blip
65,11,susie_blip
66,11,susie_blip
67,9,susie_blip
68,5,susie_blip
69,23,susie_blip
70,20,susie_blip
71,8,susie_blip
72,25,susie_blip
73,9,susie_blip
74,17,susie_blip
75,16,susie_blip
76,16,susie_blip
77,19,susie_blip
78,25,susie_blip
79,24,susie_blip
80,17,susie_blip
81,24,susie_blip
82,22,susie_blip
83,20,susie_blip
84,18,susie_blip
85,25,susie_blip
86,25,susie_blip
87,15,susie_blip
88,25,susie_blip
89,21,susie_blip
90,13,susie_blip
91,24,susie_blip
92,17,susie_blip
93,2,susie_blip
94,25,susie_blip
95,6,susie_blip
96,4,susie_blip
97,4,susie_blip
98,3,susie_blip
99,25,susie_blip
100,21,susie_blip
101,7,susie_blip
102,1,susie_blip
103,1,susie_blip
104,1,susie_blip
105,1,susie_blip
106,1,susie_blip
107,1,susie_blip
108,3,susie_blip
109,4,susie_blip
110,1,susie_blip
111,1,susie_blip
112,2,susie_blip
113,1,susie_blip
114,1,susie_blip
115,4,susie_blip
116,1,susie_blip
117,1,susie_blip
118,1,susie_blip
119,1,susie_blip
120,3,susie_blip
121,1,susie_blip
122,1,susie_blip
123,2,susie_blip
0,4,susie
1,23,susie
2,2,susie
3,9,susie
4,6,susie
5,9,susie
6,8,susie
7,1,susie
8,20,susie
9,21,susie
10,12,susie
11,11,susie
12,4,susie
13,16,susie
14,1,susie
15,2,susie
16,7,susie
17,12,susie
18,17,susie
19,18,susie
20,13,susie
21,11,susie
22,4,susie
23,14,susie
24,1,susie
25,2,susie
26,2,susie
27,8,susie
28,10,susie
29,7,susie
30,13,susie
31,16,susie
32,4,susie
33,25,susie
34,24,susie
35,3,susie
36,13,susie
37,3,susie
38,8,susie
39,25,susie
40,13,susie
41,12,susie
42,1,susie
43,7,susie
44,2,susie
45,1,susie
46,8,susie
47,24,susie
48,2,susie
49,7,susie
50,1,susie
51,11,susie
52,25,susie
53,20,susie
54,3,susie
55,3,susie
56,6,susie
57,5,susie
58,5,susie
59,1,susie
60,23,susie
61,8,susie
62,8,susie
63,10,susie
64,4,susie
65,4,susie
66,25,susie
67,2,susie
68,22,susie
69,1,susie
70,11,susie
71,13,susie
72,8,susie
73,21,susie
74,1,susie
75,16,susie
76,14,susie
77,15,susie
78,23,susie
79,8,susie
80,13,susie
81,22,susie
82,7,susie
83,14,susie
84,9,susie
85,9,susie
86,19,susie
87,1,susie
88,2,susie
89,1,susie
90,1,susie
91,15,susie
92,2,susie
93,1,susie
94,7,susie
95,3,susie
96,17,susie
97,6,susie
98,5,susie
99,24,susie
100,6,susie
0,1,susie-indiv-only
1,1,susie-indiv-only
2,1,susie-indiv-only
3,1,susie-indiv-only
4,1,susie-indiv-only
5,1,susie-indiv-only
6,1,susie-indiv-only
7,1,susie-indiv-only
8,1,susie-indiv-only
9,1,susie-indiv-only
10,1,susie-indiv-only
11,1,susie-indiv-only
12,1,susie-indiv-only
13,1,susie-indiv-only
14,1,susie-indiv-only
15,1,susie-indiv-only
16,1,susie-indiv-only
17,1,susie-indiv-only
